,mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed,model_type,save_learning_curves,early_stopping,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_std
0,train,models/local_only,False,200914-010315-fix-2-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,20310,23550,0.9566666666666667,0.0,19.605101376937586
1,train,models/local_only,False,200914-011456-fix-2-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,9930,13560,0.9650000000000001,0.0,19.661129163911212
2,train,models/local_only,False,200914-012622-fix-2-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,5970,8850,0.9666666666666666,0.0,19.621416870348583
3,train,models/local_only,False,200914-013746-fix-2-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,,,0.5033333333333333,0.0,28.0
4,train,models/local_only,False,200914-014914-fix-2-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,22290,29130,0.9383333333333332,0.0,10.710742271196708
5,train,models/local_only,False,200914-020048-fix-2-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,22800,29070,0.95,0.0,9.370165420097983
6,train,models/local_only,False,200914-021227-fix-2-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,,,0.7950000000000002,0.0,13.909708839512062
7,train,models/local_only,False,200914-022405-fix-2-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,23250,,0.9333333333333332,0.0,13.919770113044253
8,train,models/local_only,False,200914-023547-swi-2-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,,,0.7250000000000001,0.0,16.438978070427613
9,train,models/local_only,False,200914-024723-swi-2-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,23040,27390,0.9549999999999998,0.0,13.674794331177344
10,train,models/local_only,False,200914-025900-swi-2-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,,,0.4600000000000001,0.0,19.697715603592208
11,train,models/local_only,False,200914-031040-swi-2-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,23430,25620,0.9533333333333334,0.0,13.68064325973015
12,train,models/local_only,False,200914-032217-swi-2-gib-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,,,0.5383333333333333,2.0,4.52990066116245
13,train,models/local_only,False,200914-033404-swi-2-gib-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,,,0.51,0.0,9.939818911831342
14,train,models/local_only,False,200914-034552-swi-2-gib-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,,,0.5816666666666666,0.0,8.442748367682173
15,train,models/local_only,False,200914-035740-swi-2-gib-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,,,0.6149999999999999,1.0,5.841232746604093
16,train,models/local_only,False,200914-040929-fix-4-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,8370,24000,0.6749999999999999,0.0,14.418044250174848
17,train,models/local_only,False,200914-042143-fix-4-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,17760,,0.7199999999999999,0.0,14.954597955144097
18,train,models/local_only,False,200914-043417-fix-4-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,15210,27270,0.6866666666666666,0.0,14.402777509911065
19,train,models/local_only,False,200914-044626-fix-4-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,10980,,0.6966666666666665,0.0,15.035956903370002
20,train,models/local_only,False,200914-045855-fix-4-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,,,0.5066666666666667,0.0,9.543584232352119
21,train,models/local_only,False,200914-051108-fix-4-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,,,0.5416666666666666,0.0,6.988562083862459
22,train,models/local_only,False,200914-052331-fix-4-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,,,0.3833333333333333,1.5,5.8275209137333865
23,train,models/local_only,False,200914-053609-fix-4-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,,,0.4966666666666667,1.0,6.334035048845246
24,train,models/local_only,False,200914-054859-swi-4-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,25530,,0.6816666666666665,0.0,10.989085494252922
25,train,models/local_only,False,200914-060226-swi-4-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,,,0.6116666666666666,0.0,10.906878563548783
26,train,models/local_only,False,200914-061551-swi-4-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,27900,,0.6716666666666664,0.0,10.862780491200215
27,train,models/local_only,False,200914-062858-swi-4-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,,,0.5499999999999999,0.0,12.712198865656562
28,train,models/local_only,False,200914-064202-swi-4-gib-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,,,0.275,0.0,7.776888838089432
29,train,models/local_only,False,200914-065516-swi-4-gib-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,,,0.30333333333333334,2.0,6.0332412515993425
30,train,models/local_only,False,200914-070830-swi-4-gib-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,,,0.265,3.0,5.015974481593781
31,train,models/local_only,False,200914-072146-swi-4-gib-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,,,0.255,1.0,6.16765757804371
